"idx" "x_dat" "y_dat"
"1" 1 203 328
"2" 2 203 329
"3" 3 203 330
"4" 4 203 331
"5" 5 203 332
"6" 6 203 333
"7" 7 203 334
"8" 8 203 335
"9" 9 203 336
"10" 10 204 324
"11" 11 204 325
"12" 12 204 326
"13" 13 204 327
"14" 14 204 328
"15" 15 204 329
"16" 16 204 330
"17" 17 204 331
"18" 18 204 332
"19" 19 204 333
"20" 20 204 334
"21" 21 204 335
"22" 22 204 336
"23" 23 204 337
"24" 24 205 322
"25" 25 205 323
"26" 26 205 324
"27" 27 205 325
"28" 28 205 326
"29" 29 205 327
"30" 30 205 328
"31" 31 205 329
"32" 32 205 335
"33" 33 205 336
"34" 34 205 337
"35" 35 205 338
"36" 36 206 317
"37" 37 206 318
"38" 38 206 319
"39" 39 206 320
"40" 40 206 321
"41" 41 206 322
"42" 42 206 323
"43" 43 206 324
"44" 44 206 325
"45" 45 206 336
"46" 46 206 337
"47" 47 206 338
"48" 48 207 316
"49" 49 207 317
"50" 50 207 318
"51" 51 207 319
"52" 52 207 320
"53" 53 207 321
"54" 54 207 322
"55" 55 207 323
"56" 56 207 337
"57" 57 207 338
"58" 58 208 315
"59" 59 208 316
"60" 60 208 317
"61" 61 208 318
"62" 62 208 337
"63" 63 208 338
"64" 64 209 315
"65" 65 209 316
"66" 66 209 317
"67" 67 209 337
"68" 68 209 338
"69" 69 209 339
"70" 70 210 315
"71" 71 210 316
"72" 72 210 337
"73" 73 210 338
"74" 74 210 339
"75" 75 211 315
"76" 76 211 316
"77" 77 211 338
"78" 78 211 339
"79" 79 212 315
"80" 80 212 316
"81" 81 212 338
"82" 82 212 339
"83" 83 212 340
"84" 84 212 341
"85" 85 212 342
"86" 86 212 343
"87" 87 212 344
"88" 88 212 345
"89" 89 212 346
"90" 90 212 347
"91" 91 212 348
"92" 92 212 349
"93" 93 212 350
"94" 94 212 351
"95" 95 213 315
"96" 96 213 316
"97" 97 213 338
"98" 98 213 339
"99" 99 213 340
"100" 100 213 341
"101" 101 213 342
"102" 102 213 343
"103" 103 213 344
"104" 104 213 345
"105" 105 213 346
"106" 106 213 347
"107" 107 213 348
"108" 108 213 349
"109" 109 213 350
"110" 110 213 351
"111" 111 213 352
"112" 112 214 315
"113" 113 214 316
"114" 114 214 350
"115" 115 214 351
"116" 116 214 352
"117" 117 214 353
"118" 118 215 315
"119" 119 215 316
"120" 120 215 317
"121" 121 215 351
"122" 122 215 352
"123" 123 215 353
"124" 124 216 315
"125" 125 216 316
"126" 126 216 317
"127" 127 216 352
"128" 128 216 353
"129" 129 217 316
"130" 130 217 317
"131" 131 217 318
"132" 132 217 352
"133" 133 217 353
"134" 134 218 316
"135" 135 218 317
"136" 136 218 318
"137" 137 218 319
"138" 138 218 352
"139" 139 218 353
"140" 140 219 317
"141" 141 219 318
"142" 142 219 319
"143" 143 219 352
"144" 144 219 353
"145" 145 219 354
"146" 146 220 318
"147" 147 220 319
"148" 148 220 352
"149" 149 220 353
"150" 150 220 354
"151" 151 221 318
"152" 152 221 319
"153" 153 221 353
"154" 154 221 354
"155" 155 222 318
"156" 156 222 319
"157" 157 222 353
"158" 158 222 354
"159" 159 223 318
"160" 160 223 319
"161" 161 223 353
"162" 162 223 354
"163" 163 224 318
"164" 164 224 319
"165" 165 224 320
"166" 166 224 353
"167" 167 224 354
"168" 168 224 355
"169" 169 225 318
"170" 170 225 319
"171" 171 225 320
"172" 172 225 353
"173" 173 225 354
"174" 174 225 355
"175" 175 226 319
"176" 176 226 320
"177" 177 226 354
"178" 178 226 355
"179" 179 227 319
"180" 180 227 320
"181" 181 227 354
"182" 182 227 355
"183" 183 228 319
"184" 184 228 320
"185" 185 228 354
"186" 186 228 355
"187" 187 229 319
"188" 188 229 320
"189" 189 229 354
"190" 190 229 355
"191" 191 230 319
"192" 192 230 320
"193" 193 230 354
"194" 194 230 355
"195" 195 231 319
"196" 196 231 320
"197" 197 231 354
"198" 198 231 355
"199" 199 231 356
"200" 200 232 319
"201" 201 232 320
"202" 202 232 354
"203" 203 232 355
"204" 204 232 356
"205" 205 233 319
"206" 206 233 320
"207" 207 233 355
"208" 208 233 356
"209" 209 234 319
"210" 210 234 320
"211" 211 234 321
"212" 212 234 355
"213" 213 234 356
"214" 214 235 319
"215" 215 235 320
"216" 216 235 321
"217" 217 235 355
"218" 218 235 356
"219" 219 236 320
"220" 220 236 321
"221" 221 236 355
"222" 222 236 356
"223" 223 236 357
"224" 224 237 320
"225" 225 237 321
"226" 226 237 355
"227" 227 237 356
"228" 228 237 357
"229" 229 238 320
"230" 230 238 321
"231" 231 238 322
"232" 232 238 356
"233" 233 238 357
"234" 234 239 320
"235" 235 239 321
"236" 236 239 322
"237" 237 239 355
"238" 238 239 356
"239" 239 239 357
"240" 240 240 321
"241" 241 240 322
"242" 242 240 323
"243" 243 240 354
