"V1" "V2" "V3"
"1" 22 50 99
"2" 21 55 98
"3" 3 60 88
"4" 20 60 88
"5" 4 65 83
"6" 21 62 80
"7" 1 49 73
"8" 22 57 72
"9" 19 71 71
"10" 20 67 70
"11" 30 5 70
"12" 2 55 69
"13" 19 64 69
"14" 23 45 68
"15" 71 30 68
"16" 27 25 66
"17" 25 38 64
"18" 29 12 64
"19" 23 51 62
"20" 3 52 61
"21" 24 39 61
"22" 26 32 61
"23" 5 69 60
"24" 70 23 60
"25" 4 57 58
"26" 6 73 58
"27" 69 16 58
"28" 72 43 58
"29" 5 61 57
"30" 6 65 57
"31" 68 10 57
"32" 2 47 55
"33" 18 68 55
"34" 18 75 55
"35" 28 19 55
"36" 67 3 55
"37" 69 17 54
"38" 7 77 53
"39" 17 71 53
"40" 24 45 52
"41" 17 78 51
"42" 1 43 50
"43" 25 32 50
"44" 28 18 50
"45" 67 2 50
"46" 68 9 50
"47" 24 44 49
"48" 25 33 49
"49" 26 27 48
"50" 71 37 48
"51" 1 41 47
"52" 72 36 47
"53" 8 71 46
"54" 71 36 46
"55" 3 54 45
"56" 7 68 45
"57" 25 39 45
"58" 2 49 44
"59" 16 74 44
"60" 18 67 44
"61" 8 80 43
"62" 10 83 43
"63" 23 44 43
"64" 27 21 43
"65" 27 26 43
"66" 70 24 43
"67" 70 30 43
"68" 71 29 43
"69" 7 76 42
"70" 29 11 42
"71" 4 59 41
"72" 8 79 41
"73" 9 73 41
"74" 16 81 41
"75" 24 38 41
"76" 26 31 41
"77" 27 19 41
"78" 28 12 41
"79" 28 14 41
"80" 30 4 41
"81" 72 37 41
"82" 9 82 40
"83" 10 75 40
"84" 16 80 40
"85" 17 70 40
"86" 20 64 40
"87" 70 29 40
"88" 15 83 39
"89" 22 55 39
"90" 23 49 39
"91" 26 26 39
"92" 29 5 39
"93" 72 42 39
"94" 14 79 38
"95" 17 72 38
"96" 18 69 38
"97" 18 74 38
"98" 19 65 38
"99" 19 68 38
"100" 26 33 38
"101" 30 1 38
"102" 69 23 38
"103" 72 35 38
"104" 11 76 37
"105" 11 84 37
"106" 14 77 37
"107" 15 75 37
"108" 15 76 37
"109" 16 73 37
"110" 18 71 37
"111" 29 8 37
"112" 68 16 37
"113" 2 54 36
"114" 5 64 36
"115" 10 84 36
"116" 11 85 36
"117" 12 84 36
"118" 13 84 36
"119" 14 83 36
"120" 15 82 36
"121" 17 77 36
"122" 67 9 36
"123" 67 10 36
"124" 68 17 36
"125" 69 24 36
"126" 9 81 35
"127" 12 77 35
"128" 13 77 35
"129" 13 79 35
"130" 14 84 35
"131" 15 77 35
"132" 17 74 35
"133" 21 59 35
