No,E,N,ndsm,ndvi,class6
1,537182.076,5228968.993,4.93,-0.134199134,b
2,537181.382,5228970.303,5.29,-0.198380567,b
3,537182.11,5228969.104,5.01,-0.117117117,b
4,537181.416,5228970.414,5.33,-0.183333333,b
5,537182.144,5228969.215,5.04,-0.161825726,b
6,537181.451,5228970.526,5.35,-0.137777778,b
7,537182.179,5228969.327,5.07,-0.158333333,b
8,537181.485,5228970.637,5.39,-0.192156863,b
9,537182.213,5228969.438,5.1,-0.130044843,b
10,537181.519,5228970.748,5.44,-0.185185185,b
11,537182.247,5228969.549,5.14,-0.156118143,b
12,537181.553,5228970.86,5.48,-0.153526971,b
13,537182.281,5228969.661,5.19,-0.149122807,b
14,537182.316,5228969.772,5.21,-0.118181818,b
15,537182.35,5228969.883,5.22,-0.12037037,b
16,537182.384,5228969.995,5.31,-0.119266055,b
17,537182.418,5228970.106,5.36,-0.128888889,b
18,537181.005,5228969.078,4.85,-0.146245059,b
19,537182.453,5228970.217,5.4,-0.191666667,b
20,537181.039,5228969.19,4.89,-0.152,b
21,537182.487,5228970.329,5.44,-0.113043478,b
22,537182.521,5228970.44,5.47,-0.123404255,b
23,537182.555,5228970.551,5.49,-0.163934426,b
24,537182.59,5228970.663,5.51,-0.132231405,b
25,537182.624,5228970.774,5.53,-0.177865613,b
26,537180.962,5228969.335,4.92,-0.191304348,b
27,537180.997,5228969.446,4.97,-0.177865613,b
28,537181.031,5228969.558,5,-0.162393162,b
29,537181.065,5228969.669,5.03,-0.141630901,b
30,537181.099,5228969.781,5.07,-0.201581028,b
31,537181.134,5228969.892,5.11,-0.172995781,b
32,537181.168,5228970.003,5.16,-0.155737705,b
33,537181.202,5228970.115,5.2,-0.162601626,b
34,537181.236,5228970.226,5.24,-0.116071429,b
35,537181.965,5228969.027,4.94,-0.154811715,b
36,537181.271,5228970.337,5.27,-0.139240506,b
37,537181.999,5228969.138,4.98,-0.103773585,b
38,537181.305,5228970.449,5.3,-0.142857143,b
39,537182.033,5228969.25,5.03,-0.136363636,b
40,537181.339,5228970.56,5.32,-0.095652174,b
41,537182.067,5228969.361,5.07,-0.175438596,b
42,537181.373,5228970.671,5.34,-0.118644068,b
43,537182.102,5228969.472,5.1,-0.176470588,b
44,537181.408,5228970.783,5.38,-0.177966102,b
45,537180.894,5228969.112,4.86,-0.195121951,b
46,537182.136,5228969.584,5.14,-0.188284519,b
47,537180.928,5228969.224,4.89,-0.212121212,b
48,537182.17,5228969.695,5.17,-0.193277311,b
49,537182.204,5228969.806,5.2,-0.145454545,b
50,537182.239,5228969.918,5.23,-0.195121951,b
51,537182.273,5228970.029,5.27,-0.198347107,b
52,537182.307,5228970.14,5.34,-0.18699187,b
53,537182.341,5228970.252,5.39,-0.235059761,b
54,537182.376,5228970.363,5.42,-0.227642276,b
55,537182.41,5228970.474,5.45,-0.203319502,b
56,537182.444,5228970.586,5.47,-0.198380567,b
57,537182.478,5228970.697,5.49,-0.188284519,b
58,537182.513,5228970.808,5.5,-0.159663866,b
59,537180.851,5228969.369,4.92,-0.165289256,b
60,537180.885,5228969.481,4.98,-0.131147541,b
61,537180.92,5228969.592,5.01,-0.146551724,b
62,537180.954,5228969.703,5.03,-0.13304721,b
63,537180.988,5228969.815,5.06,-0.117647059,b
64,537181.022,5228969.926,5.11,-0.166666667,b
65,537181.057,5228970.037,5.17,-0.195121951,b
66,537180.783,5228969.147,4.86,-0.166666667,b
67,537181.091,5228970.149,5.21,-0.19245283,b
68,537180.817,5228969.258,4.9,-0.142857143,b
69,537181.125,5228970.26,5.23,-0.216117216,b
70,537181.853,5228969.061,4.94,-0.179487179,b
71,537181.159,5228970.372,5.25,-0.220588235,b
72,537181.887,5228969.172,5,-0.193277311,b
73,537181.194,5228970.483,5.26,-0.215827338,b
74,537181.922,5228969.284,5.05,-0.179916318,b
75,537181.228,5228970.594,5.29,-0.239852399,b
76,537181.956,5228969.395,5.07,-0.18699187,b
77,537181.262,5228970.706,5.31,-0.240875912,b
78,537181.99,5228969.506,5.1,-0.183856502,b
79,537181.296,5228970.817,5.35,-0.221789883,b
80,537182.024,5228969.618,5.13,-0.193277311,b
81,537182.059,5228969.729,5.16,-0.174468085,b
82,537182.093,5228969.841,5.2,-0.155963303,b
83,537182.127,5228969.952,5.23,-0.128888889,b
84,537182.161,5228970.063,5.29,-0.099099099,b
85,537182.196,5228970.175,5.33,-0.146551724,b
86,537182.23,5228970.286,5.36,-0.107296137,b
87,537182.264,5228970.397,5.4,-0.12605042,b
88,537182.298,5228970.509,5.44,-0.180327869,b
89,537182.333,5228970.62,5.47,-0.166666667,b
90,537182.367,5228970.731,5.49,-0.153225806,b
91,537182.401,5228970.843,5.52,-0.154471545,b
92,537180.671,5228969.181,4.86,-0.208,b
93,537180.74,5228969.404,4.91,-0.205992509,b
94,537180.705,5228969.292,4.89,-0.233201581,b
95,537180.774,5228969.515,4.95,-0.232472325,b
96,537180.808,5228969.626,5,-0.233716475,b
97,537182.89,5228968.864,5.03,-0.142857143,b
98,537180.842,5228969.738,5.04,-0.23880597,b
99,537182.924,5228968.975,5.11,-0.16017316,b
100,537182.958,5228969.087,5.14,-0.154545455,b
101,537180.877,5228969.849,5.09,-0.222641509,b
102,537182.992,5228969.198,5.14,-0.163179916,b
103,537183.027,5228969.31,5.15,-0.162393162,b
104,537180.911,5228969.96,5.14,-0.223076923,b
105,537183.061,5228969.421,5.18,-0.160714286,b
106,537183.095,5228969.532,5.22,-0.171806167,b
107,537180.945,5228970.072,5.17,-0.213389121,b
108,537183.129,5228969.644,5.27,-0.210084034,b
109,537183.164,5228969.755,5.33,-0.201754386,b
110,537180.979,5228970.183,5.2,-0.227091633,b
111,537183.198,5228969.866,5.39,-0.174887892,b
112,537181.014,5228970.294,5.23,-0.195020747,b
113,537181.742,5228969.095,4.93,-0.107981221,b
114,537181.048,5228970.406,5.25,-0.218106996,b
115,537181.776,5228969.207,4.99,-0.093596059,b
116,537181.082,5228970.517,5.27,-0.186440678,b
117,537181.81,5228969.318,5.04,-0.08411215,b
118,537181.117,5228970.628,5.29,-0.102803738,b
119,537181.845,5228969.429,5.06,-0.131578947,b
120,537181.151,5228970.74,5.32,-0.081818182,b
121,537181.879,5228969.541,5.09,-0.105990783,b
122,537181.185,5228970.851,5.36,-0.181102362,b
123,537181.913,5228969.652,5.12,-0.109243697,b
124,537181.947,5228969.763,5.16,-0.149797571,b
125,537181.982,5228969.875,5.22,-0.130434783,b
126,537182.778,5228968.898,5.02,-0.230769231,b
127,537182.016,5228969.986,5.26,-0.198412698,b
128,537182.812,5228969.01,5.09,-0.219917012,b
129,537182.847,5228969.121,5.11,-0.187214612,b
130,537182.05,5228970.097,5.3,-0.224806202,b
131,537182.881,5228969.232,5.11,-0.182222222,b
132,537182.915,5228969.344,5.12,-0.153153153,b
133,537182.084,5228970.209,5.32,-0.136363636,b
134,537182.949,5228969.455,5.16,-0.153153153,b
135,537182.984,5228969.566,5.23,-0.167381974,b
136,537183.018,5228969.678,5.3,-0.145299145,b
137,537182.119,5228970.32,5.35,-0.18852459,b
138,537183.052,5228969.789,5.35,-0.102222222,b
139,537180.526,5228969.104,4.8,-0.212598425,b
140,537183.087,5228969.901,5.39,-0.179282869,b
141,537182.153,5228970.432,5.38,-0.225,b
142,537183.121,5228970.012,5.42,-0.156118143,b
143,537180.56,5228969.215,4.85,-0.187739464,b
144,537183.155,5228970.123,5.46,-0.12173913,b
145,537182.187,5228970.543,5.42,-0.127272727,b
146,537183.189,5228970.235,5.5,-0.144067797,b
147,537180.594,5228969.327,4.88,-0.238866397,b
148,537182.221,5228970.654,5.48,-0.151515152,b
149,537183.224,5228970.346,5.54,-0.123893805,b
150,537183.258,5228970.457,5.57,-0.130434783,b
151,537182.256,5228970.766,5.53,-0.164444444,b
152,537183.292,5228970.569,5.61,-0.125541126,b
153,537183.326,5228970.68,5.66,-0.135135135,b
154,537183.361,5228970.791,5.69,-0.155555556,b
155,537180.628,5228969.438,4.9,-0.19665272,b
156,537180.663,5228969.549,4.92,-0.159183673,b
157,537180.697,5228969.661,4.95,-0.178571429,b
158,537180.731,5228969.772,4.99,-0.11627907,b
159,537180.765,5228969.883,5.05,-0.085972851,b
160,537180.8,5228969.995,5.11,-0.087557604,b
161,537180.834,5228970.106,5.17,-0.116883117,b
162,537180.868,5228970.217,5.2,-0.129707113,b
163,537180.902,5228970.329,5.23,-0.161290323,b
164,537181.63,5228969.13,4.94,-0.164658635,b
165,537180.937,5228970.44,5.25,-0.139344262,b
166,537181.665,5228969.241,4.98,-0.195121951,b
167,537180.971,5228970.551,5.27,-0.147410359,b
168,537181.699,5228969.352,5.03,-0.139013453,b
169,537181.005,5228970.663,5.29,-0.171875,b
170,537181.733,5228969.464,5.05,-0.18487395,b
171,537181.039,5228970.774,5.31,-0.116883117,b
172,537181.767,5228969.575,5.08,-0.215517241,b
173,537181.802,5228969.686,5.11,-0.222222222,b
174,537181.836,5228969.798,5.17,-0.201716738,b
175,537180.448,5228969.249,4.85,-0.090909091,b
176,537181.87,5228969.909,5.23,-0.141509434,b
177,537180.483,5228969.361,4.87,-0.131914894,b
